VALUE,pop_densit,roads_dist,deforested,FARC_raste,NP_raster_,mines_dist,wells_dist,slope_ext,elevation_,y,x,rivers_dis,slope_ext_,layer,path
2.00000000,91.74600,0.00833,0.02150,1.00000,0.00000,0.13566,1.35902,88.79228,2.00000,7.93278,-75.10759,6000.00000,4744.12109,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,57.43200,0.04167,0.00532,0.00000,0.00000,0.05590,0.40035,89.74129,94.00000,7.50783,-72.59170,65299.30859,22153.14063,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,91.74600,0.06009,0.00000,1.00000,0.00000,0.77321,2.42332,87.30106,0.00000,7.47451,-76.64046,14000.00000,2121.78394,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,64.42600,0.06872,0.01449,0.00000,0.00000,0.23863,0.26628,89.96651,53.00000,7.47451,-73.13320,53814.49609,171120.03125,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.46218,0.00273,1.00000,0.00000,1.08541,2.85134,0.00000,0.00000,7.46617,-77.09865,0.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,59.56500,0.38766,0.01797,1.00000,1.00000,0.68971,1.93443,89.87138,19.00000,7.46617,-76.10729,40000.00000,44557.46484,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
3.00000000,71.22600,0.19329,0.00083,1.00000,0.00000,0.34359,0.28297,89.90708,29.00000,7.46617,-74.13289,17088.00781,61682.20703,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.92380,0.00138,1.00000,0.00000,1.49824,3.29168,89.89230,29.00000,7.45784,-77.58184,8000.00000,53217.47266,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,91.74600,0.26874,0.00332,1.00000,0.00000,0.26784,1.53061,89.95679,31.00000,7.45784,-75.64077,27784.88672,132644.14063,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,64.42600,0.00000,0.00739,0.00000,0.00000,0.63683,0.08333,89.04517,4.00000,7.44118,-73.54974,25059.92969,6000.78662,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,91.74600,0.20833,0.00427,1.00000,0.00000,0.00000,1.11287,88.79228,22.00000,7.43284,-75.09926,18439.08789,4744.12109,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,91.74600,0.23244,0.00708,1.00000,0.00000,0.13744,0.76739,89.67247,20.00000,7.43284,-74.62441,26683.32813,17495.95898,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,64.42600,0.00833,0.00234,0.00000,0.00000,0.20983,0.41966,89.94947,47.00000,6.99957,-73.04156,52497.62109,113416.95313,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,1.11218,0.00815,1.00000,0.00000,1.75993,3.13284,89.78648,13.00000,6.98290,-77.57351,42379.24219,26837.27148,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,91.74600,0.04167,0.00114,1.00000,0.00000,0.36676,1.28336,89.94918,81.00000,6.98290,-75.60744,13416.40723,112770.37500,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,64.42600,0.07683,0.00138,0.00000,0.00000,0.08375,0.85898,89.95821,112.00000,6.98290,-72.59170,38000.00000,137105.60938,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.90900,0.11180,0.00803,1.00000,0.00000,1.35874,0.66191,0.00000,4.00000,6.98290,-70.61730,20591.26172,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,9.52000,0.67185,0.01150,1.00000,0.00000,1.44347,2.67314,88.64978,4.00000,6.97457,-77.09865,12165.52539,4243.56787,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
1.00000000,91.74600,0.00000,0.00468,1.00000,0.00000,0.26680,0.82802,89.96856,53.00000,6.97457,-75.11593,17888.54492,182269.40625,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
2.00000000,9.90900,0.00000,0.00138,1.00000,0.00000,0.55609,0.22064,0.00000,6.00000,6.97457,-71.60867,4000.00000,0.00000,factors_cover_50km2,factors_cover_50km2.shp|layername=factors_cover_50km2
